OrderID,OrderDate,ProductName,Category,Region,Quantity,Price,Revenue,Month
ORD000001,2023-11-24,BetaLaptop,Electronics,North,5,193.52,967.6,2023-11
ORD000002,2023-05-06,DeltaCharger,Accessories,South,2,475.85,951.7,2023-05
ORD000003,2023-12-13,IotaLamp,Home,North,10,368.68,3686.8,2023-12
ORD000004,2023-08-05,AlphaPhone,Electronics,North,2,303.34,606.68,2023-08
ORD000005,2023-04-22,DeltaCharger,Accessories,North,9,86.45,778.05,2023-04
ORD000006,2023-04-12,IotaLamp,Home,West,4,86.44,345.76,2023-04
ORD000007,2023-08-18,KappaMug,Home,East,1,38.46,38.46,2023-08
ORD000008,2023-03-23,ZetaNotebook,Office Supplies,East,5,434.43,2172.15,2023-03
ORD000009,2023-03-21,DeltaCharger,Accessories,East,2,304.55,609.1,2023-03
ORD000010,2023-02-17,ZetaNotebook,Office Supplies,North,6,356.96,2141.76,2023-02
ORD000011,2023-06-26,KappaMug,Home,East,1,20.09,20.09,2023-06
ORD000012,2023-08-24,IotaLamp,Home,North,7,485.26,3396.82,2023-08
ORD000013,2023-02-10,IotaLamp,Home,East,10,417.9,4179.0,2023-02
ORD000014,2023-07-05,KappaMug,Home,South,2,114.05,228.1,2023-07
ORD000015,2023-01-24,DeltaCharger,Accessories,East,2,99.09,198.18,2023-01
ORD000016,2023-04-30,BetaLaptop,Electronics,West,5,99.87,499.35,2023-04
ORD000017,2023-08-21,SigmaDesk,Furniture,South,6,159.08,954.48,2023-08
ORD000018,2023-07-01,DeltaCharger,Accessories,East,2,267.13,534.26,2023-07
ORD000019,2023-11-08,GammaHeadset,Accessories,South,3,221.65,664.95,2023-11
ORD000020,2023-08-25,ZetaNotebook,Office Supplies,East,9,152.7,1374.3,2023-08
ORD000021,2023-04-23,SigmaDesk,Furniture,North,4,309.81,1239.24,2023-04
ORD000022,2023-01-17,SigmaDesk,Furniture,West,5,78.35,391.75,2023-01
ORD000023,2023-02-03,DeltaCharger,Accessories,East,4,153.15,612.6,2023-02
ORD000024,2023-12-02,ThetaPen,Office Supplies,West,8,189.52,1516.16,2023-12
ORD000025,2023-03-15,OmegaChair,Furniture,South,4,233.47,933.88,2023-03
ORD000026,2023-10-15,IotaLamp,Home,East,10,394.74,3947.4,2023-10
ORD000027,2023-08-08,KappaMug,Home,West,6,107.84,647.04,2023-08
ORD000028,2023-04-23,GammaHeadset,Accessories,West,2,261.97,523.94,2023-04
ORD000029,2023-01-25,BetaLaptop,Electronics,South,3,300.28,900.84,2023-01
ORD000030,2023-12-15,ZetaNotebook,Office Supplies,North,7,32.76,229.32,2023-12
ORD000031,2023-07-15,KappaMug,Home,West,9,307.7,2769.3,2023-07
ORD000032,2023-05-09,IotaLamp,Home,North,2,93.56,187.12,2023-05
ORD000033,2023-12-16,IotaLamp,Home,East,6,41.88,251.28,2023-12
ORD000034,2023-02-27,OmegaChair,Furniture,West,3,474.95,1424.85,2023-02
ORD000035,2023-08-21,AlphaPhone,Electronics,East,9,483.16,4348.44,2023-08
ORD000036,2023-04-02,IotaLamp,Home,North,5,406.11,2030.55,2023-04
ORD000037,2023-11-24,IotaLamp,Home,South,3,159.26,477.78,2023-11
ORD000038,2023-07-11,GammaHeadset,Accessories,North,10,57.86,578.6,2023-07
ORD000039,2023-06-15,ThetaPen,Office Supplies,North,2,345.27,690.54,2023-06
ORD000040,2023-07-05,OmegaChair,Furniture,South,1,225.67,225.67,2023-07
ORD000041,2023-05-04,KappaMug,Home,North,2,69.8,139.6,2023-05
ORD000042,2023-09-06,BetaLaptop,Electronics,South,3,252.64,757.92,2023-09
ORD000043,2023-12-04,ThetaPen,Office Supplies,South,5,26.85,134.25,2023-12
ORD000044,2023-09-28,KappaMug,Home,West,4,455.57,1822.28,2023-09
ORD000045,2023-10-04,DeltaCharger,Accessories,East,7,136.8,957.6,2023-10
ORD000046,2023-12-10,SigmaDesk,Furniture,West,9,334.64,3011.76,2023-12
ORD000047,2023-08-20,BetaLaptop,Electronics,South,4,162.74,650.96,2023-08
ORD000048,2023-02-02,SigmaDesk,Furniture,North,10,264.83,2648.3,2023-02
ORD000049,2023-10-11,DeltaCharger,Accessories,South,1,277.89,277.89,2023-10
ORD000050,2023-02-06,AlphaPhone,Electronics,South,2,100.58,201.16,2023-02
ORD000051,2023-01-17,SigmaDesk,Furniture,North,9,485.1,4365.9,2023-01
ORD000052,2023-05-02,OmegaChair,Furniture,West,4,389.82,1559.28,2023-05
ORD000053,2023-10-04,GammaHeadset,Accessories,West,4,470.35,1881.4,2023-10
ORD000054,2023-08-31,ZetaNotebook,Office Supplies,South,2,448.47,896.94,2023-08
ORD000055,2023-02-19,ZetaNotebook,Office Supplies,East,7,302.97,2120.79,2023-02
ORD000056,2023-07-30,ThetaPen,Office Supplies,North,2,461.72,923.44,2023-07
ORD000057,2023-02-01,ZetaNotebook,Office Supplies,East,2,53.36,106.72,2023-02
ORD000058,2023-05-08,DeltaCharger,Accessories,South,9,106.03,954.27,2023-05
ORD000059,2023-08-18,GammaHeadset,Accessories,West,3,32.16,96.48,2023-08
ORD000060,2023-05-23,ThetaPen,Office Supplies,South,2,169.41,338.82,2023-05
ORD000061,2023-08-15,IotaLamp,Home,North,1,200.45,200.45,2023-08
ORD000062,2023-11-30,IotaLamp,Home,North,2,142.96,285.92,2023-11
ORD000063,2023-05-02,GammaHeadset,Accessories,West,8,416.08,3328.64,2023-05
ORD000064,2023-09-04,DeltaCharger,Accessories,West,1,184.81,184.81,2023-09
ORD000065,2023-03-26,ZetaNotebook,Office Supplies,North,7,147.66,1033.62,2023-03
ORD000066,2023-05-16,ThetaPen,Office Supplies,East,7,275.92,1931.44,2023-05
ORD000067,2023-12-23,IotaLamp,Home,West,3,79.05,237.15,2023-12
ORD000068,2023-04-08,OmegaChair,Furniture,South,1,403.08,403.08,2023-04
ORD000069,2023-10-24,IotaLamp,Home,North,6,46.53,279.18,2023-10
ORD000070,2023-01-30,AlphaPhone,Electronics,West,9,493.57,4442.13,2023-01
ORD000071,2023-09-29,GammaHeadset,Accessories,North,9,388.4,3495.6,2023-09
ORD000072,2023-02-11,GammaHeadset,Accessories,North,10,107.37,1073.7,2023-02
ORD000073,2023-02-04,DeltaCharger,Accessories,West,2,12.71,25.42,2023-02
ORD000074,2023-10-19,DeltaCharger,Accessories,North,10,409.58,4095.8,2023-10
ORD000075,2023-02-11,ZetaNotebook,Office Supplies,East,5,356.36,1781.8,2023-02
ORD000076,2023-04-15,SigmaDesk,Furniture,South,5,367.21,1836.05,2023-04
ORD000077,2023-07-22,GammaHeadset,Accessories,East,8,387.92,3103.36,2023-07
ORD000078,2023-06-11,BetaLaptop,Electronics,North,8,46.28,370.24,2023-06
ORD000079,2023-11-15,KappaMug,Home,North,2,185.65,371.3,2023-11
ORD000080,2023-10-03,DeltaCharger,Accessories,East,3,66.78,200.34,2023-10
ORD000081,2023-06-28,BetaLaptop,Electronics,South,6,432.92,2597.52,2023-06
ORD000082,2023-05-26,GammaHeadset,Accessories,West,9,315.42,2838.78,2023-05
ORD000083,2023-12-27,OmegaChair,Furniture,North,9,172.14,1549.26,2023-12
ORD000084,2023-06-03,BetaLaptop,Electronics,South,5,41.14,205.7,2023-06
ORD000085,2023-03-01,BetaLaptop,Electronics,South,5,162.38,811.9,2023-03
ORD000086,2023-05-25,KappaMug,Home,South,6,169.34,1016.04,2023-05
ORD000087,2023-04-15,OmegaChair,Furniture,West,5,367.51,1837.55,2023-04
ORD000088,2023-01-27,BetaLaptop,Electronics,West,5,322.4,1612.0,2023-01
ORD000089,2023-01-23,AlphaPhone,Electronics,East,3,444.73,1334.19,2023-01
ORD000090,2023-11-23,OmegaChair,Furniture,South,8,241.39,1931.12,2023-11
ORD000091,2023-10-10,ZetaNotebook,Office Supplies,North,2,68.6,137.2,2023-10
ORD000092,2023-02-08,GammaHeadset,Accessories,North,6,359.49,2156.94,2023-02
ORD000093,2023-10-26,IotaLamp,Home,South,7,382.78,2679.46,2023-10
ORD000094,2023-03-07,AlphaPhone,Electronics,East,6,285.03,1710.18,2023-03
ORD000095,2023-01-21,SigmaDesk,Furniture,South,4,387.77,1551.08,2023-01
ORD000096,2023-12-08,BetaLaptop,Electronics,East,9,251.96,2267.64,2023-12
ORD000097,2023-07-28,KappaMug,Home,South,4,266.14,1064.56,2023-07
ORD000098,2023-03-25,GammaHeadset,Accessories,West,1,219.5,219.5,2023-03
ORD000099,2023-04-02,SigmaDesk,Furniture,West,4,22.46,89.84,2023-04
ORD000100,2023-05-17,GammaHeadset,Accessories,North,7,62.87,440.09,2023-05
ORD000101,2023-01-20,ThetaPen,Office Supplies,South,4,25.4,101.6,2023-01
ORD000102,2023-08-24,SigmaDesk,Furniture,East,4,321.84,1287.36,2023-08
ORD000103,2023-04-25,AlphaPhone,Electronics,South,7,164.03,1148.21,2023-04
ORD000104,2023-06-18,OmegaChair,Furniture,North,5,259.2,1296.0,2023-06
ORD000105,2023-06-29,IotaLamp,Home,West,9,454.71,4092.39,2023-06
ORD000106,2023-06-19,AlphaPhone,Electronics,North,5,132.15,660.75,2023-06
ORD000107,2023-04-02,KappaMug,Home,East,1,211.09,211.09,2023-04
ORD000108,2023-02-25,KappaMug,Home,West,6,380.22,2281.32,2023-02
ORD000109,2023-06-10,ZetaNotebook,Office Supplies,North,7,122.11,854.77,2023-06
ORD000110,2023-10-23,DeltaCharger,Accessories,East,1,47.72,47.72,2023-10
ORD000111,2023-12-29,ZetaNotebook,Office Supplies,North,9,151.98,1367.82,2023-12
ORD000112,2023-10-03,DeltaCharger,Accessories,East,7,89.0,623.0,2023-10
ORD000113,2023-02-05,SigmaDesk,Furniture,East,2,465.55,931.1,2023-02
ORD000114,2023-06-03,IotaLamp,Home,East,7,405.98,2841.86,2023-06
ORD000115,2023-06-17,ZetaNotebook,Office Supplies,East,9,320.37,2883.33,2023-06
ORD000116,2023-03-07,DeltaCharger,Accessories,West,7,437.02,3059.14,2023-03
ORD000117,2023-12-13,GammaHeadset,Accessories,East,7,403.8,2826.6,2023-12
ORD000118,2023-10-08,AlphaPhone,Electronics,East,5,101.42,507.1,2023-10
ORD000119,2023-04-18,ZetaNotebook,Office Supplies,East,8,447.35,3578.8,2023-04
ORD000120,2023-08-15,ThetaPen,Office Supplies,South,9,274.28,2468.52,2023-08
ORD000121,2023-08-31,GammaHeadset,Accessories,North,5,405.65,2028.25,2023-08
ORD000122,2023-09-21,KappaMug,Home,East,2,449.08,898.16,2023-09
ORD000123,2023-05-01,OmegaChair,Furniture,South,4,165.82,663.28,2023-05
ORD000124,2023-03-17,AlphaPhone,Electronics,North,4,63.93,255.72,2023-03
ORD000125,2023-09-01,KappaMug,Home,North,8,121.69,973.52,2023-09
ORD000126,2023-08-01,KappaMug,Home,South,7,219.28,1534.96,2023-08
ORD000127,2023-09-11,ZetaNotebook,Office Supplies,South,3,410.83,1232.49,2023-09
ORD000128,2023-12-02,AlphaPhone,Electronics,North,7,431.76,3022.32,2023-12
ORD000129,2023-04-23,GammaHeadset,Accessories,West,1,13.41,13.41,2023-04
ORD000130,2023-10-13,DeltaCharger,Accessories,North,8,260.27,2082.16,2023-10
ORD000131,2023-03-10,ThetaPen,Office Supplies,East,8,214.53,1716.24,2023-03
ORD000132,2023-11-10,IotaLamp,Home,West,9,118.83,1069.47,2023-11
ORD000133,2023-08-17,GammaHeadset,Accessories,West,8,68.73,549.84,2023-08
ORD000134,2023-05-13,DeltaCharger,Accessories,East,9,175.43,1578.87,2023-05
ORD000135,2023-09-06,DeltaCharger,Accessories,East,8,472.03,3776.24,2023-09
ORD000136,2023-02-09,OmegaChair,Furniture,South,5,168.37,841.85,2023-02
ORD000137,2023-06-21,SigmaDesk,Furniture,North,3,264.21,792.63,2023-06
ORD000138,2023-03-19,DeltaCharger,Accessories,West,3,354.48,1063.44,2023-03
ORD000139,2023-12-28,DeltaCharger,Accessories,North,7,188.18,1317.26,2023-12
ORD000140,2023-07-28,SigmaDesk,Furniture,West,7,486.17,3403.19,2023-07
ORD000141,2023-02-01,DeltaCharger,Accessories,West,7,481.6,3371.2,2023-02
ORD000142,2023-10-27,AlphaPhone,Electronics,West,8,133.37,1066.96,2023-10
ORD000143,2023-01-04,SigmaDesk,Furniture,East,7,253.65,1775.55,2023-01
ORD000144,2023-08-03,IotaLamp,Home,South,8,157.43,1259.44,2023-08
ORD000145,2023-04-23,OmegaChair,Furniture,West,8,149.57,1196.56,2023-04
ORD000146,2023-01-15,ZetaNotebook,Office Supplies,East,7,28.07,196.49,2023-01
ORD000147,2023-03-26,ThetaPen,Office Supplies,South,10,308.69,3086.9,2023-03
ORD000148,2023-10-01,AlphaPhone,Electronics,West,10,256.31,2563.1,2023-10
ORD000149,2023-10-16,AlphaPhone,Electronics,North,7,35.22,246.54,2023-10
ORD000150,2023-03-11,ThetaPen,Office Supplies,South,1,146.54,146.54,2023-03
ORD000151,2023-05-14,ZetaNotebook,Office Supplies,East,4,455.05,1820.2,2023-05
ORD000152,2023-08-21,SigmaDesk,Furniture,East,7,127.39,891.73,2023-08
ORD000153,2023-05-23,ZetaNotebook,Office Supplies,East,2,81.0,162.0,2023-05
ORD000154,2023-08-29,AlphaPhone,Electronics,North,6,249.83,1498.98,2023-08
ORD000155,2023-04-25,BetaLaptop,Electronics,North,1,492.97,492.97,2023-04
ORD000156,2023-05-07,DeltaCharger,Accessories,North,10,128.61,1286.1,2023-05
ORD000157,2023-03-20,DeltaCharger,Accessories,South,8,339.35,2714.8,2023-03
ORD000158,2023-12-09,BetaLaptop,Electronics,South,8,383.19,3065.52,2023-12
ORD000159,2023-12-25,OmegaChair,Furniture,East,3,126.44,379.32,2023-12
ORD000160,2023-11-07,KappaMug,Home,North,3,366.83,1100.49,2023-11
ORD000161,2023-06-09,BetaLaptop,Electronics,North,5,190.21,951.05,2023-06
ORD000162,2023-10-22,ZetaNotebook,Office Supplies,West,4,319.83,1279.32,2023-10
ORD000163,2023-02-08,KappaMug,Home,South,2,320.43,640.86,2023-02
ORD000164,2023-12-23,OmegaChair,Furniture,North,10,272.53,2725.3,2023-12
ORD000165,2023-01-22,SigmaDesk,Furniture,West,6,54.24,325.44,2023-01
ORD000166,2023-02-05,IotaLamp,Home,East,1,419.3,419.3,2023-02
ORD000167,2023-08-04,ThetaPen,Office Supplies,North,7,167.18,1170.26,2023-08
ORD000168,2023-07-05,ThetaPen,Office Supplies,South,7,101.39,709.73,2023-07
ORD000169,2023-04-01,IotaLamp,Home,East,10,29.98,299.8,2023-04
ORD000170,2023-10-03,ThetaPen,Office Supplies,West,7,299.54,2096.78,2023-10
ORD000171,2023-10-31,OmegaChair,Furniture,East,4,342.01,1368.04,2023-10
ORD000172,2023-02-14,OmegaChair,Furniture,West,4,18.13,72.52,2023-02
ORD000173,2023-08-26,KappaMug,Home,West,6,260.93,1565.58,2023-08
ORD000174,2023-01-15,ThetaPen,Office Supplies,East,3,120.98,362.94,2023-01
ORD000175,2023-09-07,DeltaCharger,Accessories,East,5,326.13,1630.65,2023-09
ORD000176,2023-06-24,OmegaChair,Furniture,East,9,95.44,858.96,2023-06
ORD000177,2023-01-06,IotaLamp,Home,South,2,348.56,697.12,2023-01
ORD000178,2023-05-04,ZetaNotebook,Office Supplies,West,9,199.5,1795.5,2023-05
ORD000179,2023-05-04,ThetaPen,Office Supplies,West,8,469.0,3752.0,2023-05
ORD000180,2023-01-09,BetaLaptop,Electronics,East,4,77.39,309.56,2023-01
ORD000181,2023-07-27,DeltaCharger,Accessories,East,10,177.12,1771.2,2023-07
ORD000182,2023-07-08,ThetaPen,Office Supplies,East,7,65.6,459.2,2023-07
ORD000183,2023-10-09,SigmaDesk,Furniture,East,8,463.1,3704.8,2023-10
ORD000184,2023-05-19,OmegaChair,Furniture,East,4,439.9,1759.6,2023-05
ORD000185,2023-03-03,DeltaCharger,Accessories,East,2,136.39,272.78,2023-03
ORD000186,2023-10-02,GammaHeadset,Accessories,South,4,333.39,1333.56,2023-10
ORD000187,2023-09-05,OmegaChair,Furniture,East,2,410.44,820.88,2023-09
ORD000188,2023-04-10,OmegaChair,Furniture,South,6,282.05,1692.3,2023-04
ORD000189,2023-04-02,OmegaChair,Furniture,North,9,269.53,2425.77,2023-04
ORD000190,2023-03-06,OmegaChair,Furniture,North,1,128.51,128.51,2023-03
ORD000191,2023-10-11,OmegaChair,Furniture,South,8,55.62,444.96,2023-10
ORD000192,2023-02-22,AlphaPhone,Electronics,East,8,449.64,3597.12,2023-02
ORD000193,2023-09-03,ThetaPen,Office Supplies,East,3,451.2,1353.6,2023-09
ORD000194,2023-01-27,OmegaChair,Furniture,West,2,320.22,640.44,2023-01
ORD000195,2023-02-03,ZetaNotebook,Office Supplies,West,2,176.12,352.24,2023-02
ORD000196,2023-10-23,AlphaPhone,Electronics,South,3,181.11,543.33,2023-10
ORD000197,2023-10-16,OmegaChair,Furniture,North,4,365.72,1462.88,2023-10
ORD000198,2023-03-02,IotaLamp,Home,West,10,449.58,4495.8,2023-03
ORD000199,2023-11-02,KappaMug,Home,South,9,444.67,4002.03,2023-11
ORD000200,2023-07-14,ThetaPen,Office Supplies,West,5,392.14,1960.7,2023-07
ORD000201,2023-10-29,ZetaNotebook,Office Supplies,East,10,324.6,3246.0,2023-10
ORD000202,2023-11-14,AlphaPhone,Electronics,North,4,51.23,204.92,2023-11
ORD000203,2023-11-17,DeltaCharger,Accessories,East,2,89.2,178.4,2023-11
ORD000204,2023-03-22,DeltaCharger,Accessories,South,9,450.29,4052.61,2023-03
ORD000205,2023-02-08,GammaHeadset,Accessories,North,7,307.15,2150.05,2023-02
ORD000206,2023-08-19,KappaMug,Home,West,5,14.51,72.55,2023-08
ORD000207,2023-01-17,DeltaCharger,Accessories,East,5,59.72,298.6,2023-01
ORD000208,2023-12-26,ThetaPen,Office Supplies,North,4,335.12,1340.48,2023-12
ORD000209,2023-05-16,KappaMug,Home,South,7,12.48,87.36,2023-05
ORD000210,2023-02-28,IotaLamp,Home,South,3,88.8,266.4,2023-02
ORD000211,2023-05-17,GammaHeadset,Accessories,North,1,278.88,278.88,2023-05
ORD000212,2023-03-26,OmegaChair,Furniture,East,8,349.03,2792.24,2023-03
ORD000213,2023-03-05,ThetaPen,Office Supplies,East,7,329.46,2306.22,2023-03
ORD000214,2023-05-20,IotaLamp,Home,West,8,119.89,959.12,2023-05
ORD000215,2023-02-11,KappaMug,Home,North,7,358.97,2512.79,2023-02
ORD000216,2023-06-15,KappaMug,Home,East,1,126.25,126.25,2023-06
ORD000217,2023-02-16,DeltaCharger,Accessories,North,5,169.45,847.25,2023-02
ORD000218,2023-10-23,AlphaPhone,Electronics,South,8,375.78,3006.24,2023-10
ORD000219,2023-09-23,ThetaPen,Office Supplies,East,3,328.32,984.96,2023-09
ORD000220,2023-10-27,ZetaNotebook,Office Supplies,West,2,426.12,852.24,2023-10
ORD000221,2023-08-29,SigmaDesk,Furniture,West,6,332.23,1993.38,2023-08
ORD000222,2023-06-14,BetaLaptop,Electronics,South,6,288.47,1730.82,2023-06
ORD000223,2023-07-30,ThetaPen,Office Supplies,East,7,55.9,391.3,2023-07
ORD000224,2023-10-09,AlphaPhone,Electronics,West,2,190.18,380.36,2023-10
ORD000225,2023-06-11,OmegaChair,Furniture,East,2,139.95,279.9,2023-06
ORD000226,2023-07-26,IotaLamp,Home,North,9,129.55,1165.95,2023-07
ORD000227,2023-08-25,ZetaNotebook,Office Supplies,North,4,486.78,1947.12,2023-08
ORD000228,2023-09-23,SigmaDesk,Furniture,West,8,202.62,1620.96,2023-09
ORD000229,2023-01-27,DeltaCharger,Accessories,East,9,447.1,4023.9,2023-01
ORD000230,2023-03-09,OmegaChair,Furniture,West,8,319.26,2554.08,2023-03
ORD000231,2023-03-04,AlphaPhone,Electronics,South,3,399.46,1198.38,2023-03
ORD000232,2023-06-09,IotaLamp,Home,North,9,256.29,2306.61,2023-06
ORD000233,2023-07-28,BetaLaptop,Electronics,South,2,292.68,585.36,2023-07
ORD000234,2023-08-25,BetaLaptop,Electronics,South,8,251.33,2010.64,2023-08
ORD000235,2023-05-30,IotaLamp,Home,East,7,105.67,739.69,2023-05
ORD000236,2023-09-05,ThetaPen,Office Supplies,South,8,364.0,2912.0,2023-09
ORD000237,2023-10-10,GammaHeadset,Accessories,West,4,147.58,590.32,2023-10
ORD000238,2023-11-03,IotaLamp,Home,South,2,21.91,43.82,2023-11
ORD000239,2023-05-22,ZetaNotebook,Office Supplies,East,9,326.28,2936.52,2023-05
ORD000240,2023-05-17,AlphaPhone,Electronics,East,5,96.78,483.9,2023-05
ORD000241,2023-10-28,KappaMug,Home,West,3,470.82,1412.46,2023-10
ORD000242,2023-08-17,IotaLamp,Home,West,6,477.43,2864.58,2023-08
ORD000243,2023-06-20,IotaLamp,Home,West,8,458.28,3666.24,2023-06
ORD000244,2023-06-14,DeltaCharger,Accessories,South,10,191.38,1913.8,2023-06
ORD000245,2023-07-16,DeltaCharger,Accessories,West,1,17.57,17.57,2023-07
ORD000246,2023-06-12,ThetaPen,Office Supplies,West,7,464.88,3254.16,2023-06
ORD000247,2023-12-06,GammaHeadset,Accessories,West,1,219.81,219.81,2023-12
ORD000248,2023-03-06,IotaLamp,Home,East,2,483.66,967.32,2023-03
ORD000249,2023-08-14,BetaLaptop,Electronics,West,1,482.17,482.17,2023-08
ORD000250,2023-03-15,ZetaNotebook,Office Supplies,South,2,427.97,855.94,2023-03
ORD000251,2023-08-29,OmegaChair,Furniture,East,10,154.28,1542.8,2023-08
ORD000252,2023-12-21,ZetaNotebook,Office Supplies,North,6,198.7,1192.2,2023-12
ORD000253,2023-12-12,IotaLamp,Home,West,6,427.06,2562.36,2023-12
ORD000254,2023-11-17,ThetaPen,Office Supplies,North,10,165.29,1652.9,2023-11
ORD000255,2023-02-05,DeltaCharger,Accessories,East,4,93.05,372.2,2023-02
ORD000256,2023-02-16,ZetaNotebook,Office Supplies,North,2,282.83,565.66,2023-02
ORD000257,2023-08-16,GammaHeadset,Accessories,East,1,468.72,468.72,2023-08
ORD000258,2023-01-24,SigmaDesk,Furniture,North,5,351.05,1755.25,2023-01
