OrderID,OrderDate,ProductName,Category,Region,Quantity,Price,Revenue
ORD000001,2023-11-24,BetaLaptop,Electronics,North,5.0,193.52,967.6
ORD000002,2023-05-06,DeltaCharger,Accessories,South,2.0,475.85,951.7
ORD000003,2023-12-13,IotaLamp,Home,North,10.0,368.68,3686.8
ORD000004,2023-08-05,AlphaPhone,Electronics,North,2.0,303.34,606.68
ORD000005,2023-04-22,DeltaCharger,Accessories,North,9.0,86.45,778.05
ORD000006,2023-04-12,IotaLamp,Home,West,4.0,86.44,345.76
ORD000007,2023-08-18,KappaMug,Home,East,1.0,38.46,38.46
ORD000008,2023-03-23,ZetaNotebook,Office Supplies,East,5.0,434.43,2172.15
ORD000009,2023-03-21,DeltaCharger,Accessories,East,2.0,304.55,609.1
ORD000010,2023-02-17,ZetaNotebook,Office Supplies,North,6.0,356.96,2141.76
ORD000011,2023-06-26,KappaMug,Home,East,1.0,20.09,20.09
ORD000012,2023-08-24,IotaLamp,Home,North,7.0,485.26,3396.82
ORD000013,2023-02-10,IotaLamp,Home,East,10.0,417.9,4179.0
ORD000014,2023-07-05,KappaMug,Home,South,2.0,114.05,228.1
ORD000015,2023-01-24,DeltaCharger,Accessories,East,2.0,99.09,198.18
ORD000016,2023-04-30,BetaLaptop,Electronics,West,5.0,99.87,499.35
ORD000017,2023-08-21,SigmaDesk,Furniture,South,6.0,159.08,954.48
ORD000018,2023-07-01,DeltaCharger,Accessories,East,2.0,267.13,534.26
ORD000019,2023-11-08,GammaHeadset,Accessories,South,3.0,221.65,664.95
ORD000020,2023-08-25,ZetaNotebook,Office Supplies,East,9.0,152.7,1374.3
ORD000021,2023-04-23,SigmaDesk,Furniture,North,4.0,309.81,1239.24
ORD000022,2023-01-17,SigmaDesk,Furniture,West,5.0,78.35,391.75
ORD000023,2023-02-03,DeltaCharger,Accessories,East,4.0,153.15,612.6
ORD000024,2023-12-02,ThetaPen,Office Supplies,West,8.0,189.52,1516.16
ORD000025,2023-03-15,OmegaChair,Furniture,South,4.0,233.47,933.88
ORD000026,2023-10-15,IotaLamp,Home,East,10.0,394.74,3947.4
ORD000027,2023-08-08,KappaMug,Home,West,6.0,107.84,647.04
ORD000028,2023-04-23,GammaHeadset,Accessories,West,2.0,261.97,523.94
ORD000029,2023-01-25,BetaLaptop,Electronics,South,3.0,300.28,900.84
ORD000030,2023-12-15,ZetaNotebook,Office Supplies,North,7.0,32.76,229.32
ORD000031,2023-07-15,KappaMug,Home,West,9.0,307.7,2769.3
ORD000032,2023-05-09,IotaLamp,Home,North,2.0,93.56,187.12
ORD000033,2023-12-16,IotaLamp,Home,East,6.0,41.88,251.28
ORD000034,2023-02-27,OmegaChair,Furniture,West,3.0,474.95,1424.85
ORD000035,2023-08-21,AlphaPhone,Electronics,East,9.0,483.16,4348.44
ORD000036,2023-04-02,IotaLamp,Home,North,5.0,406.11,2030.55
ORD000037,2023-11-24,IotaLamp,Home,South,3.0,159.26,477.78
ORD000038,2023-07-11,GammaHeadset,Accessories,North,10.0,57.86,578.6
ORD000039,2023-06-15,ThetaPen,Office Supplies,North,2.0,345.27,690.54
ORD000040,2023-07-05,OmegaChair,Furniture,South,1.0,225.67,225.67
ORD000041,2023-05-04,KappaMug,Home,North,2.0,69.8,139.6
ORD000042,2023-09-06,BetaLaptop,Electronics,South,3.0,252.64,757.92
ORD000043,2023-12-04,ThetaPen,Office Supplies,South,5.0,26.85,134.25
ORD000044,2023-09-28,KappaMug,Home,West,4.0,455.57,1822.28
ORD000045,2023-10-04,DeltaCharger,Accessories,East,7.0,136.8,957.6
ORD000046,2023-12-10,SigmaDesk,Furniture,West,9.0,334.64,3011.76
ORD000047,2023-08-20,BetaLaptop,Electronics,South,4.0,162.74,650.96
ORD000048,2023-02-02,SigmaDesk,Furniture,North,10.0,264.83,2648.3
