CustomerID,SignupDate,LastActiveDate,SubscriptionType,MonthlyFee,TotalMonthsActive,Churned,CustomerRevenue,SignupMonth,ChurnBinary
CUST_00001,2022-04-25,2022-05-18,Premium,106.5,1,Yes,106.5,2022-04,1
CUST_00002,2022-05-23,2022-09-04,Basic,33.53,24,Yes,804.72,2022-05,1
CUST_00003,2022-03-31,2023-06-06,Premium,91.91,19,Yes,1746.29,2022-03,1
CUST_00004,2022-08-12,2022-12-19,Basic,32.04,8,Yes,256.32,2022-08,1
CUST_00005,2022-07-23,2024-05-18,Premium,132.08,23,Yes,3037.84,2022-07,1
CUST_00006,2022-08-14,2023-06-11,Standard,58.35,15,Yes,875.25,2022-08,1
CUST_00007,2022-06-13,2023-08-19,Basic,26.81,23,Yes,616.63,2022-06,1
CUST_00008,2022-08-09,2022-09-30,Basic,21.85,11,Yes,240.35000000000002,2022-08,1
CUST_00009,2023-01-03,2023-11-08,Basic,25.29,12,Yes,303.48,2023-01,1
CUST_00010,2023-04-16,2023-08-21,Basic,39.46,18,Yes,710.28,2023-04,1
CUST_00011,2022-03-22,2023-01-16,Standard,74.88,18,Yes,1347.84,2022-03,1
CUST_00012,2023-01-06,2023-07-21,Premium,132.27,19,Yes,2513.13,2023-01,1
CUST_00013,2023-11-09,2024-05-24,Basic,25.79,8,Yes,206.32,2023-11,1
CUST_00014,2022-08-27,2022-10-14,Basic,25.56,4,Yes,102.24,2022-08,1
CUST_00015,2023-01-09,2023-04-13,Premium,111.32,6,Yes,667.92,2023-01,1
CUST_00016,2022-10-01,2024-07-25,Premium,94.28,23,Yes,2168.44,2022-10,1
CUST_00017,2022-06-25,2023-03-02,Premium,99.8,18,Yes,1796.3999999999999,2022-06,1
CUST_00018,2022-10-04,2024-04-26,Standard,56.59,21,Yes,1188.39,2022-10,1
CUST_00019,2022-02-27,2022-09-25,Standard,50.96,8,Yes,407.68,2022-02,1
CUST_00020,2023-02-15,2023-03-20,Standard,56.33,9,Yes,506.96999999999997,2023-02,1
CUST_00021,2022-11-19,2023-05-05,Premium,119.95,7,Yes,839.65,2022-11,1
CUST_00022,2023-04-15,2023-06-21,Premium,98.38,5,Yes,491.9,2023-04,1
CUST_00023,2023-07-29,2024-04-23,Premium,134.82,18,Yes,2426.7599999999998,2023-07,1
CUST_00024,2023-08-21,2024-02-22,Standard,56.58,13,Yes,735.54,2023-08,1
CUST_00025,2023-06-06,2023-07-22,Basic,35.12,16,Yes,561.92,2023-06,1
CUST_00026,2022-06-06,2022-11-16,Basic,35.84,21,Yes,752.6400000000001,2022-06,1
CUST_00027,2023-09-03,2023-10-22,Standard,61.45,3,Yes,184.35000000000002,2023-09,1
CUST_00028,2023-06-26,2023-07-01,Standard,70.41,9,Yes,633.6899999999999,2023-06,1
CUST_00029,2023-11-30,2024-08-29,Basic,35.37,18,Yes,636.66,2023-11,1
CUST_00030,2022-04-25,2022-12-03,Standard,54.74,10,Yes,547.4,2022-04,1
CUST_00031,2022-09-27,2023-10-22,Basic,23.57,17,Yes,400.69,2022-09,1
CUST_00032,2023-10-03,2024-06-18,Basic,32.18,10,Yes,321.8,2023-10,1
CUST_00033,2023-01-18,2023-06-05,Basic,39.07,6,Yes,234.42000000000002,2023-01,1
CUST_00034,2022-01-01,2022-11-28,Premium,119.32,20,Yes,2386.3999999999996,2022-01,1
CUST_00035,2023-01-07,2023-05-09,Basic,21.16,10,Yes,211.6,2023-01,1
CUST_00036,2022-03-22,2022-05-23,Premium,138.96,3,Yes,416.88,2022-03,1
CUST_00037,2022-05-09,2022-09-07,Premium,146.81,5,Yes,734.05,2022-05,1
CUST_00038,2022-09-29,2023-12-19,Basic,32.13,17,Yes,546.21,2022-09,1
CUST_00039,2023-07-07,2025-06-12,Basic,24.02,24,Yes,576.48,2023-07,1
CUST_00040,2023-02-13,2024-03-01,Standard,63.14,22,Yes,1389.08,2023-02,1
CUST_00041,2023-04-08,2023-05-09,Premium,103.48,4,Yes,413.92,2023-04,1
CUST_00042,2022-01-22,2023-08-12,Standard,56.9,19,Yes,1081.1,2022-01,1
CUST_00043,2022-01-08,2022-04-08,Basic,32.62,3,Yes,97.85999999999999,2022-01,1
CUST_00044,2022-03-11,2022-05-05,Basic,26.61,2,Yes,53.22,2022-03,1
CUST_00045,2022-09-01,2023-05-07,Premium,102.85,9,Yes,925.65,2022-09,1
CUST_00046,2023-08-08,2024-12-04,Basic,24.86,19,Yes,472.34,2023-08,1
CUST_00047,2023-02-21,2023-03-17,Standard,52.91,7,Yes,370.37,2023-02,1
CUST_00048,2022-12-29,2023-07-27,Standard,64.01,14,Yes,896.1400000000001,2022-12,1
