CustomerID,SignupDate,LastActiveDate,SubscriptionType,MonthlyFee,TotalMonthsActive,Churned
CUST_00001,2022-04-25,2022-05-18,Premium,106.5,1,Yes
CUST_00002,2022-05-23,2022-09-04,Basic,33.53,24,Yes
CUST_00003,2022-03-31,2023-06-06,Premium,91.91,19,Yes
CUST_00004,2022-08-12,2022-12-19,Basic,32.04,8,Yes
CUST_00005,2022-07-23,2024-05-18,Premium,132.08,23,Yes
CUST_00006,2022-08-14,2023-06-11,Standard,58.35,15,Yes
CUST_00007,2022-06-13,2023-08-19,Basic,26.81,23,Yes
CUST_00008,2022-08-09,2022-09-30,Basic,21.85,11,Yes
CUST_00009,2023-01-03,2023-11-08,Basic,25.29,12,Yes
CUST_00010,2023-04-16,2023-08-21,Basic,39.46,18,Yes
CUST_00011,2022-03-22,2023-01-16,Standard,74.88,18,Yes
CUST_00012,2023-01-06,2023-07-21,Premium,132.27,19,Yes
CUST_00013,2023-11-09,2024-05-24,Basic,25.79,8,Yes
CUST_00014,2022-08-27,2022-10-14,Basic,25.56,4,Yes
CUST_00015,2023-01-09,2023-04-13,Premium,111.32,6,Yes
CUST_00016,2022-10-01,2024-07-25,Premium,94.28,23,Yes
CUST_00017,2022-06-25,2023-03-02,Premium,99.8,18,Yes
CUST_00018,2022-10-04,2024-04-26,Standard,56.59,21,Yes
CUST_00019,2022-02-27,2022-09-25,Standard,50.96,8,Yes
CUST_00020,2023-02-15,2023-03-20,Standard,56.33,9,Yes
CUST_00021,2022-11-19,2023-05-05,Premium,119.95,7,Yes
CUST_00022,2023-04-15,2023-06-21,Premium,98.38,5,Yes
CUST_00023,2023-07-29,2024-04-23,Premium,134.82,18,Yes
CUST_00024,2023-08-21,2024-02-22,Standard,56.58,13,Yes
CUST_00025,2023-06-06,2023-07-22,Basic,35.12,16,Yes
CUST_00026,2022-06-06,2022-11-16,Basic,35.84,21,Yes
CUST_00027,2023-09-03,2023-10-22,Standard,61.45,3,Yes
CUST_00028,2023-06-26,2023-07-01,Standard,70.41,9,Yes
CUST_00029,2023-11-30,2024-08-29,Basic,35.37,18,Yes
CUST_00030,2022-04-25,2022-12-03,Standard,54.74,10,Yes
CUST_00031,2022-09-27,2023-10-22,Basic,23.57,17,Yes
CUST_00032,2023-10-03,2024-06-18,Basic,32.18,10,Yes
CUST_00033,2023-01-18,2023-06-05,Basic,39.07,6,Yes
CUST_00034,2022-01-01,2022-11-28,Premium,119.32,20,Yes
CUST_00035,2023-01-07,2023-05-09,Basic,21.16,10,Yes
CUST_00036,2022-03-22,2022-05-23,Premium,138.96,3,Yes
CUST_00037,2022-05-09,2022-09-07,Premium,146.81,5,Yes
CUST_00038,2022-09-29,2023-12-19,Basic,32.13,17,Yes
CUST_00039,2023-07-07,2025-06-12,Basic,24.02,24,Yes
CUST_00040,2023-02-13,2024-03-01,Standard,63.14,22,Yes
CUST_00041,2023-04-08,2023-05-09,Premium,103.48,4,Yes
CUST_00042,2022-01-22,2023-08-12,Standard,56.9,19,Yes
CUST_00043,2022-01-08,2022-04-08,Basic,32.62,3,Yes
CUST_00044,2022-03-11,2022-05-05,Basic,26.61,2,Yes
CUST_00045,2022-09-01,2023-05-07,Premium,102.85,9,Yes
CUST_00046,2023-08-08,2024-12-04,Basic,24.86,19,Yes
CUST_00047,2023-02-21,2023-03-17,Standard,52.91,7,Yes
CUST_00048,2022-12-29,2023-07-27,Standard,64.01,14,Yes
CUST_00049,2022-02-25,2022-06-05,Premium,93.64,22,Yes
CUST_00050,2022-12-14,2023-01-14,Premium,101.5,4,Yes
CUST_00051,2023-04-05,2023-07-22,Premium,101.01,5,Yes
CUST_00052,2022-09-13,2022-11-08,Standard,74.24,3,Yes
CUST_00053,2022-04-11,2022-05-22,Premium,149.96,2,Yes
CUST_00054,2022-04-06,2022-05-18,Basic,28.13,8,Yes
CUST_00055,2022-08-07,2022-09-06,Standard,54.94,13,Yes
CUST_00056,2023-02-04,2023-09-24,Basic,25.7,9,Yes
CUST_00057,2023-07-24,2024-12-03,Premium,99.29,22,Yes
CUST_00058,2022-08-11,2022-09-17,Standard,72.07,2,Yes
CUST_00059,2022-11-18,2022-11-21,Basic,31.68,2,Yes
CUST_00060,2023-06-28,2023-07-12,Premium,147.65,6,Yes
CUST_00061,2022-07-10,2022-09-24,Basic,21.36,3,Yes
CUST_00062,2023-02-18,2023-06-18,Basic,37.81,4,Yes
CUST_00063,2023-08-16,2023-09-25,Basic,32.39,20,Yes
CUST_00064,2023-11-05,2025-04-23,Standard,59.49,19,Yes
CUST_00065,2022-07-29,2023-06-15,Standard,57.16,22,Yes
CUST_00066,2022-05-15,2024-03-05,Standard,59.0,22,Yes
CUST_00067,2022-03-16,2022-03-30,Standard,68.63,1,Yes
CUST_00068,2022-04-13,2022-06-20,Premium,102.79,3,Yes
CUST_00069,2022-05-16,2022-06-20,Standard,76.38,12,Yes
CUST_00070,2022-10-19,2023-02-08,Standard,75.01,6,Yes
CUST_00071,2022-11-06,2024-04-30,Premium,90.47,20,Yes
CUST_00072,2022-11-03,2023-02-17,Premium,146.34,22,Yes
CUST_00073,2022-09-28,2023-01-19,Basic,22.14,4,Yes
CUST_00074,2022-06-09,2022-10-31,Premium,126.29,9,Yes
CUST_00075,2022-12-18,2023-06-11,Premium,128.05,7,Yes
