LeadID,Date,MarketingChannel,Impressions,Clicks,LeadsGenerated,Conversions,Revenue
1,2023-04-15,Email,9346,271,48,37,22422
2,2023-09-17,Google Ads,6289,1372,333,180,119700
3,2023-12-06,LinkedIn,5843,1703,1102,145,101645
4,2023-12-14,Email,5031,1369,235,78,34632
5,2023-03-08,Facebook,5845,2514,1945,1162,694876
6,2023-04-26,Organic,1222,530,2,2,1092
7,2023-06-19,LinkedIn,1321,994,627,530,241680
8,2023-09-10,Google Ads,8665,6628,2662,2605,367305
9,2023-02-22,Google Ads,7589,4509,193,79,30178
10,2023-10-11,LinkedIn,6167,2274,1518,530,201400
11,2023-07-15,Facebook,6623,366,252,213,55806
12,2023-06-06,Email,3212,586,561,155,86335
13,2023-05-08,LinkedIn,6551,5782,433,251,46686
14,2023-01-14,Google Ads,5183,2607,228,54,33264
15,2023-04-19,Google Ads,9508,1725,877,116,106836
16,2023-05-13,LinkedIn,6139,2673,1951,88,64504
17,2023-03-09,Google Ads,1447,656,423,133,100149
18,2023-03-08,Facebook,1709,1694,1644,1434,886212
19,2023-03-13,Email,4145,3439,910,726,470448
20,2023-06-20,LinkedIn,8787,5609,5259,369,132840
21,2023-07-20,Facebook,1991,1009,979,720,375840
22,2023-05-12,Email,5677,4749,297,213,163158
23,2023-04-21,LinkedIn,4586,3614,1190,394,240734
24,2023-02-24,Organic,6799,3335,3219,2367,875790
25,2023-02-23,Facebook,9395,9272,1401,575,214475
26,2023-04-17,LinkedIn,1498,1261,628,537,325422
27,2023-06-27,Facebook,5229,4100,1375,159,96672
28,2023-04-04,Email,2621,2187,86,49,16317
29,2023-09-06,Organic,1106,418,237,71,35713
30,2023-11-21,Organic,5053,4107,839,109,73793
31,2023-05-23,Organic,5633,2435,2201,420,169680
32,2023-01-19,LinkedIn,2283,142,80,64,25472
33,2023-03-31,Email,1400,863,808,793,129259
34,2023-04-19,Organic,9273,2763,2668,2581,1065953
35,2023-07-15,Organic,1801,751,480,58,19024
36,2023-11-29,Facebook,8728,3516,2209,1260,1014300
37,2023-06-23,LinkedIn,6501,3096,1409,581,449694
38,2023-02-16,LinkedIn,4941,3642,1914,1216,575168
39,2023-01-26,Organic,9010,2566,1911,1830,1577460
40,2023-03-29,Email,9993,7725,2743,2205,769545
41,2023-09-19,LinkedIn,4041,3086,542,248,186496
42,2023-08-23,Google Ads,3154,1589,397,160,141760
43,2023-07-16,Organic,9164,1388,1071,487,440248
44,2023-12-06,Google Ads,6179,4742,650,105,86835
45,2023-10-09,Facebook,5382,4084,3818,2326,816426
46,2023-05-31,Google Ads,7253,1136,1096,867,340731
47,2023-06-26,LinkedIn,4695,1319,517,61,24522
48,2023-03-04,Facebook,4483,1618,619,566,278472
49,2023-02-24,Google Ads,5748,2122,170,19,14041
50,2023-05-15,Facebook,3319,3278,2404,1228,1065904
51,2023-06-07,Google Ads,3490,1177,390,203,98455
52,2023-04-27,Email,9866,6991,2187,842,759484
53,2023-09-25,Google Ads,8087,1919,828,362,145524
54,2023-08-24,LinkedIn,2545,937,220,146,88622
55,2023-04-27,Facebook,3418,3386,2522,996,520908
56,2023-10-23,LinkedIn,8445,3107,979,944,185024
57,2023-03-01,LinkedIn,7457,5815,1522,1461,742188
58,2023-07-29,Organic,7973,2796,2541,1823,911500
59,2023-10-27,Organic,3570,2588,1117,748,353056
60,2023-11-24,Facebook,2005,1006,350,240,116400
61,2023-11-26,Email,7486,1087,156,6,5076
62,2023-02-15,LinkedIn,9085,6198,1154,817,96406
63,2023-08-18,Organic,2312,1617,31,19,15865
64,2023-01-12,Facebook,8065,7660,6269,1471,975273
65,2023-03-26,Email,9296,1396,341,59,20296
66,2023-06-10,Facebook,3210,1117,281,91,34853
67,2023-01-11,LinkedIn,1842,1545,216,48,18528
68,2023-05-02,Google Ads,1551,481,125,3,423
69,2023-05-04,LinkedIn,6914,4510,3876,3477,3143208
70,2023-04-27,Email,2784,1897,1501,393,276672
